player_id,player_name,player_position,sum_yellow_cards,sum_red_cards,player_fouls,seasons_played
1677,"Lucas Pérez",Forward,0,0,5,1
1680,"Alex Pritchard",Midfielder,2,0,13,1
1681,"Collin Quaner",Forward,0,0,2,1
1683,"Joe Ralls",Midfielder,4,1,29,1
1684,"Ramadan Sobhi",Midfielder,0,0,0,1
1686,"Jazz Richards",Defender,0,0,0,1
1687,"Patrick Roberts",Midfielder,0,0,1,1
1690,"Aaron Rowe",Midfielder,0,0,2,1
1692,"Abdelhamid Sabiri",Midfielder,0,0,0,1
1697,"Christopher Schindler",Defender,4,1,26,1
1699,"André Schürrle",Midfielder,2,0,17,1
1705,"Adam Smith",Defender,12,1,43,2
1720,"Rajiv van La Parra",Midfielder,0,0,4,1
1721,"Luciano Vietto",Forward,1,0,13,1
